TTB_ID,BRAND_NAME,ALCOHOL_CONTENT,NET_CONTENTS,IMAGE_URLS,PRODUCT_TYPE,CLASS_NAME,APPLICATION_STATUS,APPLICANT_NAME,ADDRESS_TEXT,ADDRESS_STATE,ADDRESS_ZIP_CODE,ORIGIN_NAME,FANCIFUL_NAME,GRAPE_VARIETALS,WINE_APPELLATION,SERIAL_NUMBER,PERMIT_NUMBER,APPLICATION_DATE,APPROVAL_DATE,EXPIRATION_DATE
17202001000574,SAGAMORE SPIRIT,,,"front:https://ttblabelsdev.blob.core.windows.net/demo/17202001000574_0.jpg,back:https://ttblabelsdev.blob.core.windows.net/demo/17202001000574_1.jpg,strip:https://ttblabelsdev.blob.core.windows.net/demo/17202001000574_2.jpg",DISTILLED SPIRITS,STRAIGHT RYE WHISKY,EXPIRED,"SAGAMORE SPIRIT, SAGAMORE WHISKEY, LLC","301 E CROMWELL ST, BALTIMORE MD 21230",MD,21230,Domestic,,,,170006,DSP-MD-20019,07/21/2017,07/25/2017,
18015001000704,CAZCANES,,,"front:https://ttblabelsdev.blob.core.windows.net/demo/18015001000704_0.jpg,back:https://ttblabelsdev.blob.core.windows.net/demo/18015001000704_1.jpg",DISTILLED SPIRITS,TEQUILA FB,APPROVED,PARK STREET IMPORTS LLC,"1000 BRICKELL AVE STE 915, MIAMI FL 33131",FL,33131,Imported,,,,18,,01/15/2018,01/19/2018,
18016001000466,TROMBA,40% ALC/VOL.,750 ML,"front:https://ttblabelsdev.blob.core.windows.net/demo/18016001000466_0.jpg,back:https://ttblabelsdev.blob.core.windows.net/demo/18016001000466_1.jpg,strip:https://ttblabelsdev.blob.core.windows.net/demo/18016001000466_2.jpg,strip:https://ttblabelsdev.blob.core.windows.net/demo/18016001000466_3.jpg,strip:https://ttblabelsdev.blob.core.windows.net/demo/18016001000466_4.jpg",DISTILLED SPIRITS,TEQUILA FB,SURRENDERED,PARK STREET IMPORTS LLC,"1000 BRICKELL AVE STE 915, MIAMI FL 33131",FL,33131,Imported,,,,18,,01/16/2018,01/18/2018,
18019001000089,WEST IN PEACE WIT,,,front:https://ttblabelsdev.blob.core.windows.net/demo/18019001000089_0.jpg,MALT BEVERAGE,MALT BEVERAGES SPECIALITIES - FLAVORED,APPROVED,ASTON ABBEY BREWING COMPANY LLC,"340 TURNER INDUSTRIAL WAY, ASTON PA 19014",PA,19014,Domestic,,,,18,BR-PA-20222,01/19/2018,01/26/2018,
18019001000586,LABATT BLUE,,,front:https://ttblabelsdev.blob.core.windows.net/demo/18019001000586_0.jpg,MALT BEVERAGE,BEER,APPROVED,"LABATT USA, LABATT USA OPERATING CO, LLC","50 FOUNTAIN PLZ SUITE 900, BUFFALO NY 14202",NY,14202,Imported,,,,180036,,01/19/2018,01/31/2018,
18019001000827,MEZCAL AZTECALI REPOSADO,,,"front:https://ttblabelsdev.blob.core.windows.net/demo/18019001000827_0.jpg,back:https://ttblabelsdev.blob.core.windows.net/demo/18019001000827_1.jpg",DISTILLED SPIRITS,MEZCAL,APPROVED,MTS DISTRIBUTION INC,"1187 N FARNSWORTH AVE UNIT 105, AURORA IL 60505",IL,60505,Imported,,,,18,,01/19/2018,01/30/2018,
18023001000308,REVOLUTION BREWING,,19.5 L,"front:https://ttblabelsdev.blob.core.windows.net/demo/18023001000308_0.jpg,back:https://ttblabelsdev.blob.core.windows.net/demo/18023001000308_1.jpg,strip:https://ttblabelsdev.blob.core.windows.net/demo/18023001000308_2.jpg",MALT BEVERAGE,ALE,APPROVED,REVOLUTION BEER LLC,"3340 N KEDZIE AVE, CHICAGO IL 60618",IL,60618,Domestic,DOUBLE DRY-HOPPED GALAXY HERO,,,18,BR-IL-21005,01/23/2018,01/29/2018,
18025001000106,BEAU,8% ALC/VOL.,1 PINT,front:https://ttblabelsdev.blob.core.windows.net/demo/18025001000106_0.jpg,MALT BEVERAGE,,,"ROBIN HOOD BREWING CO., HOME DELIVERY PIZZA, INC.","1796 ZION RD, BELLEFONTE PA 16823",PA,16823,Domestic,,,,180096,,01/25/2018,01/31/2018,
18026001000035,LANZERAC,12.5% ALC/VOL.,750 MI,"front:https://ttblabelsdev.blob.core.windows.net/demo/18026001000035_0.jpg,back:https://ttblabelsdev.blob.core.windows.net/demo/18026001000035_1.jpg",WINE,,APPROVED,"CAPE ARDOR, LLC","1414 OAK62ND ST, EMERYVILLE CA 94608",CA,94608,Imported,,Pinotage,COASTAL REGION,181908,,01/26/2018,01/31/2018,
18026001000095,LAVIS,12% ALC/VOL.,750 ML,"front:https://ttblabelsdev.blob.core.windows.net/demo/18026001000095_0.jpg,back:https://ttblabelsdev.blob.core.windows.net/demo/18026001000095_1.jpg",WINE,TABLE WHITE WINE,APPROVED,"ETHICA WINES, F & F FINE WINES INTERNATIONAL, INC.","68 SOUTHFIELD AVE, 2 STAMFORD LANDING, SUITE 100, STAMFORD CT 06902",CT,06902,Imported,,Pinot Grigio,DELLE VENEZIE,180126,,01/26/2018,01/31/2018,
18026001000231,LA RIOJA ALTA,,,"front:https://ttblabelsdev.blob.core.windows.net/demo/18026001000231_0.jpg,back:https://ttblabelsdev.blob.core.windows.net/demo/18026001000231_1.jpg",WINE,,APPROVED,LEMMA WINE COMPANY,"120 SE MARKET ST, PORTLAND OR 97214",OR,97214,Imported,,,RIOJA,186018,,01/26/2018,01/31/2018,
